date 	price
27/09/2011 	1.264553
28/09/2011 	1.277107
29/09/2011 	1.268978
30/09/2011 	1.265368
01/10/2011 	1.267069
02/10/2011 	1.263998
03/10/2011 	1.263387
04/10/2011 	1.261053
05/10/2011 	1.243271
06/10/2011 	1.252912
07/10/2011 	1.262540
08/10/2011 	1.263945
09/10/2011 	1.271215
10/10/2011 	1.278221
11/10/2011 	1.275200
12/10/2011 	1.277739
13/10/2011 	1.297006
14/10/2011 	1.299665
15/10/2011 	1.303954
16/10/2011 	1.302687
17/10/2011 	1.309143
18/10/2011 	1.297516
19/10/2011 	1.297983
20/10/2011 	1.300942
21/10/2011 	1.303774
22/10/2011 	1.318634
23/10/2011 	1.314417
24/10/2011 	1.320089
25/10/2011 	1.323379
26/10/2011 	1.319201
27/10/2011 	1.318068
28/10/2011 	1.329994
29/10/2011 	1.330128
30/10/2011 	1.331233
31/10/2011 	1.329864
01/11/2011 	1.326834
02/11/2011 	1.320781
03/11/2011 	1.314752
04/11/2011 	1.316549
05/11/2011 	1.310853
08/11/2011 	1.313636
09/11/2011 	1.312478
10/11/2011 	1.311005
11/11/2011 	1.308028
12/11/2011 	1.317593
13/11/2011 	1.315143
14/11/2011 	1.317119
15/11/2011 	1.315568
16/11/2011 	1.311452
17/11/2011 	1.309932
18/11/2011 	1.300484
19/11/2011 	1.301427
20/11/2011 	1.303473
21/11/2011 	1.300020
22/11/2011 	1.281086
23/11/2011 	1.279637
24/11/2011 	1.269618
25/11/2011 	1.273603
26/11/2011 	1.276621
29/11/2011 	1.290129
30/11/2011 	1.296675
01/12/2011 	1.313983
02/12/2011 	1.310446
03/12/2011 	1.312221
06/12/2011 	1.315982
07/12/2011 	1.312120
08/12/2011 	1.319477
09/12/2011 	1.319038
10/12/2011 	1.317318
11/12/2011 	1.317557
12/12/2011 	1.321436
13/12/2011 	1.309797
14/12/2011 	1.314103
15/12/2011 	1.296968
16/12/2011 	1.299851
17/12/2011 	1.300349
20/12/2011 	1.296004
21/12/2011 	1.308091
22/12/2011 	1.306706
23/12/2011 	1.311071
24/12/2011 	1.313156
25/12/2011 	1.313752
26/12/2011 	1.313045
27/12/2011 	1.312525
28/12/2011 	1.317048
29/12/2011 	1.310873
30/12/2011 	1.315550
31/12/2011 	1.327875
01/01/2012 	1.323405
02/01/2012 	1.323405
03/01/2012 	1.326172
04/01/2012 	1.330754
05/01/2012 	1.331833
06/01/2012 	1.324937
07/01/2012 	1.323491
08/01/2012 	1.325227
09/01/2012 	1.325092
10/01/2012 	1.325201
11/01/2012 	1.330883
12/01/2012 	1.330842
13/01/2012 	1.330543
14/01/2012 	1.331007
15/01/2012 	1.330877
16/01/2012 	1.334118
17/01/2012 	1.330760
18/01/2012 	1.334823
19/01/2012 	1.329419
20/01/2012 	1.326341
21/01/2012 	1.332575
22/01/2012 	1.331832
23/01/2012 	1.333368
24/01/2012 	1.334836
25/01/2012 	1.328936
26/01/2012 	1.331084
27/01/2012 	1.337200
28/01/2012 	1.334575
29/01/2012 	1.332354
30/01/2012 	1.334371
31/01/2012 	1.331654
01/02/2012 	1.332069
02/02/2012 	1.340387
03/02/2012 	1.335519
04/02/2012 	1.337624
05/02/2012 	1.336634
06/02/2012 	1.337886
07/02/2012 	1.339974
08/02/2012 	1.344921
09/02/2012 	1.344100
10/02/2012 	1.347970
11/02/2012 	1.344610
12/02/2012 	1.346938
13/02/2012 	1.346199
14/02/2012 	1.348517
15/02/2012 	1.351864
16/02/2012 	1.354585
17/02/2012 	1.358127
18/02/2012 	1.346660
19/02/2012 	1.347558
20/02/2012 	1.348944
21/02/2012 	1.346719
22/02/2012 	1.343620
23/02/2012 	1.337895
24/02/2012 	1.342794
25/02/2012 	1.344540
26/02/2012 	1.342966
27/02/2012 	1.342908
28/02/2012 	1.350339
29/02/2012 	1.347785
01/03/2012 	1.345047
02/03/2012 	1.347874
03/03/2012 	1.344159
04/03/2012 	1.343873
05/03/2012 	1.343873
06/03/2012 	1.342102
07/03/2012 	1.332722
08/03/2012 	1.333538
09/03/2012 	1.330241
10/03/2012 	1.327912
11/03/2012 	1.324003
12/03/2012 	1.327028
13/03/2012 	1.322074
14/03/2012 	1.325470
15/03/2012 	1.325412
16/03/2012 	1.331294
17/03/2012 	1.331420
18/03/2012 	1.332302
19/03/2012 	1.332486
20/03/2012 	1.332280
21/03/2012 	1.324089
22/03/2012 	1.320834
23/03/2012 	1.314593
24/03/2012 	1.318787
25/03/2012 	1.319612
26/03/2012 	1.319546
27/03/2012 	1.322911
28/03/2012 	1.317023
29/03/2012 	1.304663
30/03/2012 	1.303390
31/03/2012 	1.304510
01/04/2012 	1.301693
02/04/2012 	1.301244
03/04/2012 	1.308017
04/04/2012 	1.297327
05/04/2012 	1.292040
06/04/2012 	1.298149
07/04/2012 	1.299766
08/04/2012 	1.298341
09/04/2012 	1.298547
10/04/2012 	1.301947
11/04/2012 	1.295695
12/04/2012 	1.296411
13/04/2012 	1.306612
14/04/2012 	1.293632
15/04/2012 	1.294642
16/04/2012 	1.295086
17/04/2012 	1.295167
18/04/2012 	1.298276
19/04/2012 	1.294991
20/04/2012 	1.291902
21/04/2012 	1.295488
25/04/2012 	1.281819
26/04/2012 	1.287117
27/04/2012 	1.288323
28/04/2012 	1.295538
29/04/2012 	1.294570
30/04/2012 	1.295872
01/05/2012 	1.288827
02/05/2012 	1.277275
03/05/2012 	1.279100
04/05/2012 	1.274193
05/05/2012 	1.267648
07/05/2012 	1.266556
08/05/2012 	1.271712
09/05/2012 	1.263086
10/05/2012 	1.261129
11/05/2012 	1.262763
12/05/2012 	1.257032
13/05/2012 	1.255210
14/05/2012 	1.255714
15/05/2012 	1.254520
16/05/2012 	1.255925
17/05/2012 	1.257933
18/05/2012 	1.259495
19/05/2012 	1.252185
20/05/2012 	1.255242
21/05/2012 	1.255242
22/05/2012 	1.254614
23/05/2012 	1.251821
24/05/2012 	1.243459
25/05/2012 	1.242882
26/05/2012 	1.251198
28/05/2012 	1.251123
29/05/2012 	1.257822
30/05/2012 	1.256655
31/05/2012 	1.253625
01/06/2012 	1.253503
02/06/2012 	1.251984
03/06/2012 	1.254489
04/06/2012 	1.253662
05/06/2012 	1.250874
06/06/2012 	1.251459
07/06/2012 	1.263768
08/06/2012 	1.266445
09/06/2012 	1.269896
10/06/2012 	1.273837
11/06/2012 	1.272538
12/06/2012 	1.271565
13/06/2012 	1.274188
14/06/2012 	1.276957
15/06/2012 	1.277562
16/06/2012 	1.278700
17/06/2012 	1.281793
18/06/2012 	1.281591
19/06/2012 	1.285193
20/06/2012 	1.289540
21/06/2012 	1.292262
22/06/2012 	1.284974
23/06/2012 	1.283285
24/06/2012 	1.286281
25/06/2012 	1.287095
26/06/2012 	1.281011
27/06/2012 	1.284784
28/06/2012 	1.285555
29/06/2012 	1.282904
30/06/2012 	1.297806
01/07/2012 	1.295640
02/07/2012 	1.295959
03/07/2012 	1.297988
04/07/2012 	1.298088
05/07/2012 	1.301421
06/07/2012 	1.301464
07/07/2012 	1.297187
08/07/2012 	1.298630
09/07/2012 	1.299081
10/07/2012 	1.295215
11/07/2012 	1.293836
12/07/2012 	1.295042
13/07/2012 	1.286285
14/07/2012 	1.292906
15/07/2012 	1.293997
