date 	price
27/09/2011 	0.877633
28/09/2011 	0.880612
29/09/2011 	0.873784
30/09/2011 	0.866754
01/10/2011 	0.869544
02/10/2011 	0.865571
03/10/2011 	0.865282
04/10/2011 	0.873496
05/10/2011 	0.870187
06/10/2011 	0.883367
07/10/2011 	0.886392
08/10/2011 	0.890286
09/10/2011 	0.892897
10/10/2011 	0.888518
11/10/2011 	0.878894
12/10/2011 	0.881054
13/10/2011 	0.879472
14/10/2011 	0.878764
15/10/2011 	0.880973
16/10/2011 	0.883413
17/10/2011 	0.883517
18/10/2011 	0.882013
19/10/2011 	0.884916
20/10/2011 	0.890468
21/10/2011 	0.880274
22/10/2011 	0.875363
23/10/2011 	0.876784
24/10/2011 	0.876287
25/10/2011 	0.876973
26/10/2011 	0.867100
27/10/2011 	0.877283
28/10/2011 	0.864655
29/10/2011 	0.868031
01/11/2011 	0.876873
02/11/2011 	0.873623
03/11/2011 	0.872570
04/11/2011 	0.872651
05/11/2011 	0.871596
06/11/2011 	0.857645
07/11/2011 	0.868280
08/11/2011 	0.886156
09/11/2011 	0.884761
10/11/2011 	0.891302
11/11/2011 	0.888623
12/11/2011 	0.884986
13/11/2011 	0.886944
14/11/2011 	0.886944
15/11/2011 	0.891541
16/11/2011 	0.897218
17/11/2011 	0.898564
18/11/2011 	0.895964
19/11/2011 	0.892714
20/11/2011 	0.893302
21/11/2011 	0.893165
22/11/2011 	0.881227
23/11/2011 	0.882028
24/11/2011 	0.877623
25/11/2011 	0.877967
26/11/2011 	0.886217
27/11/2011 	0.887096
28/11/2011 	0.887449
29/11/2011 	0.892450
30/11/2011 	0.892902
01/12/2011 	0.893712
02/12/2011 	0.898517
03/12/2011 	0.907409
04/12/2011 	0.903820
05/12/2011 	0.904262
06/12/2011 	0.905306
07/12/2011 	0.916420
08/12/2011 	0.914641
09/12/2011 	0.909252
10/12/2011 	0.905660
11/12/2011 	0.909011
12/12/2011 	0.907615
13/12/2011 	0.910460
14/12/2011 	0.915550
15/12/2011 	0.916666
16/12/2011 	0.908411
17/12/2011 	0.902340
18/12/2011 	0.902545
19/12/2011 	0.902545
20/12/2011 	0.903714
21/12/2011 	0.904325
22/12/2011 	0.911890
23/12/2011 	0.917241
24/12/2011 	0.919766
25/12/2011 	0.917389
26/12/2011 	0.918624
27/12/2011 	0.914280
28/12/2011 	0.915434
29/12/2011 	0.921461
30/12/2011 	0.923197
31/12/2011 	0.920468
01/01/2012 	0.918363
02/01/2012 	0.918363
03/01/2012 	0.921050
04/01/2012 	0.923168
05/01/2012 	0.929448
06/01/2012 	0.933537
07/01/2012 	0.933848
08/01/2012 	0.929152
09/01/2012 	0.929152
10/01/2012 	0.926642
11/01/2012 	0.934843
12/01/2012 	0.937553
13/01/2012 	0.926016
14/01/2012 	0.930910
17/01/2012 	0.937491
18/01/2012 	0.936619
19/01/2012 	0.930834
20/01/2012 	0.924802
21/01/2012 	0.920000
24/01/2012 	0.919619
25/01/2012 	0.919831
26/01/2012 	0.919859
27/01/2012 	0.918425
28/01/2012 	0.914699
31/01/2012 	0.915084
01/02/2012 	0.917660
02/02/2012 	0.914967
03/02/2012 	0.916046
04/02/2012 	0.925516
05/02/2012 	0.927191
06/02/2012 	0.924258
07/02/2012 	0.923718
08/02/2012 	0.917842
09/02/2012 	0.914759
10/02/2012 	0.915740
11/02/2012 	0.916383
12/02/2012 	0.915885
13/02/2012 	0.915319
14/02/2012 	0.915422
15/02/2012 	0.919185
16/02/2012 	0.925427
17/02/2012 	0.924887
18/02/2012 	0.920578
21/02/2012 	0.917065
22/02/2012 	0.915360
23/02/2012 	0.911108
24/02/2012 	0.907544
25/02/2012 	0.896366
26/02/2012 	0.896419
27/02/2012 	0.896299
28/02/2012 	0.899859
29/02/2012 	0.899739
01/03/2012 	0.914079
02/03/2012 	0.918798
03/03/2012 	0.924001
04/03/2012 	0.924091
05/03/2012 	0.924217
06/03/2012 	0.917240
07/03/2012 	0.917353
08/03/2012 	0.917199
09/03/2012 	0.916216
10/03/2012 	0.929351
11/03/2012 	0.928582
12/03/2012 	0.928582
13/03/2012 	0.922148
14/03/2012 	0.929023
15/03/2012 	0.936573
16/03/2012 	0.930871
17/03/2012 	0.923636
18/03/2012 	0.922732
19/03/2012 	0.922732
20/03/2012 	0.923568
21/03/2012 	0.918364
22/03/2012 	0.920090
23/03/2012 	0.914557
24/03/2012 	0.909236
25/03/2012 	0.909006
26/03/2012 	0.909279
27/03/2012 	0.910859
28/03/2012 	0.909997
29/03/2012 	0.907131
30/03/2012 	0.909309
31/03/2012 	0.903665
02/04/2012 	0.903124
03/04/2012 	0.911400
04/04/2012 	0.910853
05/04/2012 	0.919636
06/04/2012 	0.926151
07/04/2012 	0.919575
08/04/2012 	0.919174
09/04/2012 	0.919984
10/04/2012 	0.919025
11/04/2012 	0.914317
12/04/2012 	0.913883
13/04/2012 	0.914468
14/04/2012 	0.921167
15/04/2012 	0.919846
16/04/2012 	0.920030
17/04/2012 	0.914721
18/04/2012 	0.925757
19/04/2012 	0.924713
20/04/2012 	0.921299
21/04/2012 	0.916486
25/04/2012 	0.920947
26/04/2012 	0.925570
27/04/2012 	0.922108
28/04/2012 	0.924193
01/05/2012 	0.919172
02/05/2012 	0.923124
03/05/2012 	0.925322
04/05/2012 	0.924454
05/05/2012 	0.922907
06/05/2012 	0.919948
07/05/2012 	0.922606
08/05/2012 	0.926477
09/05/2012 	0.922965
10/05/2012 	0.926039
11/05/2012 	0.926174
12/05/2012 	0.930620
13/05/2012 	0.929664
14/05/2012 	0.929604
15/05/2012 	0.933893
16/05/2012 	0.938706
17/05/2012 	0.933986
18/05/2012 	0.928449
19/05/2012 	0.924342
20/05/2012 	0.919619
21/05/2012 	0.919619
22/05/2012 	0.921513
23/05/2012 	0.925538
24/05/2012 	0.931786
25/05/2012 	0.931761
26/05/2012 	0.931533
27/05/2012 	0.932317
28/05/2012 	0.931870
29/05/2012 	0.935672
30/05/2012 	0.938579
31/05/2012 	0.942974
01/06/2012 	0.939822
02/06/2012 	0.930968
03/06/2012 	0.929468
05/06/2012 	0.922926
06/06/2012 	0.928730
07/06/2012 	0.929135
08/06/2012 	0.931576
09/06/2012 	0.931935
11/06/2012 	0.935005
12/06/2012 	0.933316
13/06/2012 	0.935924
14/06/2012 	0.928952
15/06/2012 	0.929709
16/06/2012 	0.928529
17/06/2012 	0.927778
18/06/2012 	0.927869
19/06/2012 	0.931422
20/06/2012 	0.928049
21/06/2012 	0.928067
22/06/2012 	0.930439
23/06/2012 	0.931862
24/06/2012 	0.932689
25/06/2012 	0.932689
26/06/2012 	0.933520
27/06/2012 	0.938244
28/06/2012 	0.939261
29/06/2012 	0.934487
30/06/2012 	0.932100
01/07/2012 	0.932156
02/07/2012 	0.932156
03/07/2012 	0.938055
04/07/2012 	0.940543
05/07/2012 	0.946410
06/07/2012 	0.956840
07/07/2012 	0.959021
08/07/2012 	0.958957
09/07/2012 	0.958006
10/07/2012 	0.956454
11/07/2012 	0.959756
12/07/2012 	0.961105
13/07/2012 	0.965075
14/07/2012 	0.966834
15/07/2012 	0.967459
16/07/2012 	0.967459
17/07/2012 	0.964283
18/07/2012 	0.966094
19/07/2012 	0.968645
20/07/2012 	0.971087
21/07/2012 	0.975632
22/07/2012 	0.975240
23/07/2012 	0.975336
24/07/2012 	0.973400
25/07/2012 	0.974946
26/07/2012 	0.973205
27/07/2012 	0.967740
28/07/2012 	0.969438
29/07/2012 	0.971696
30/07/2012 	0.971802
31/07/2012 	0.977860
01/08/2012 	0.973639
02/08/2012 	0.975113
