date 	price
27/09/2011 	1.345189
28/09/2011 	1.363605
29/09/2011 	1.356245
30/09/2011 	1.357202
01/10/2011 	1.345442
02/10/2011 	1.339190
03/10/2011 	1.338598
04/10/2011 	1.326700
05/10/2011 	1.329027
06/10/2011 	1.331487
07/10/2011 	1.339746
08/10/2011 	1.339047
09/10/2011 	1.338742
10/10/2011 	1.351096
11/10/2011 	1.366550
12/10/2011 	1.363829
13/10/2011 	1.380796
14/10/2011 	1.373796
15/10/2011 	1.385176
16/10/2011 	1.386001
17/10/2011 	1.387752
18/10/2011 	1.377657
19/10/2011 	1.373796
20/10/2011 	1.379405
21/10/2011 	1.377505
22/10/2011 	1.386501
23/10/2011 	1.387386
24/10/2011 	1.389700
25/10/2011 	1.391788
26/10/2011 	1.392525
27/10/2011 	1.383183
28/10/2011 	1.419688
29/10/2011 	1.415769
30/10/2011 	1.414747
31/10/2011 	1.416290
01/11/2011 	1.393107
02/11/2011 	1.368626
03/11/2011 	1.374570
04/11/2011 	1.377676
05/11/2011 	1.374627
06/11/2011 	1.374797
07/11/2011 	1.379006
08/11/2011 	1.374797
09/11/2011 	1.378664
10/11/2011 	1.360156
11/11/2011 	1.360489
12/11/2011 	1.378379
13/11/2011 	1.377904
14/11/2011 	1.374797
15/11/2011 	1.361600
16/11/2011 	1.351808
17/11/2011 	1.350694
18/11/2011 	1.352247
19/11/2011 	1.351205
20/11/2011 	1.351991
22/11/2011 	1.352393
23/11/2011 	1.349182
24/11/2011 	1.335238
25/11/2011 	1.333582
26/11/2011 	1.325135
27/11/2011 	1.324293
28/11/2011 	1.324293
29/11/2011 	1.333333
30/11/2011 	1.334063
01/12/2011 	1.344972
02/12/2011 	1.348309
03/12/2011 	1.338043
04/12/2011 	1.340465
05/12/2011 	1.338491
06/12/2011 	1.346239
07/12/2011 	1.338240
08/12/2011 	1.338849
09/12/2011 	1.332427
10/12/2011 	1.337024
11/12/2011 	1.336702
12/12/2011 	1.338545
13/12/2011 	1.320550
14/12/2011 	1.309243
15/12/2011 	1.297724
