DATE,VALUE,,
4/1/1955,107263,,
7/2/1955,107398,,
10/2/1955,109591,,
1/1/1956,109050,,
4/1/1956,110201,,
7/2/1956,109919,,
10/2/1956,109859,,
1/1/1957,110336,,
4/1/1957,112513,,
7/2/1957,112481,,
10/2/1957,111780,,
1/1/1958,111969,,
4/1/1958,114280,,
7/2/1958,111698,,
10/2/1958,114160,,
1/1/1959,114288,,
4/1/1959,114860,,
7/2/1959,116749,,
10/2/1959,119239,,
1/1/1960,122245,,
4/1/1960,125247,,
7/2/1960,124335,,
10/2/1960,126225,,
1/1/1961,126992,,
4/1/1961,129056,,
7/2/1961,129591,,
10/2/1961,128912,,
1/1/1962,128694,,
4/1/1962,129273,,
7/2/1962,130521,,
10/2/1962,131297,,
1/1/1963,130815,,
4/1/1963,131549,,
7/2/1963,137141,,
10/2/1963,137783,,
1/1/1964,140891,,
4/1/1964,141748,,
7/2/1964,144191,,
10/2/1964,144765,,
1/1/1965,146973,,
4/1/1965,146558,,
7/2/1965,146678,,
10/2/1965,147917,,
1/1/1966,148822,,
4/1/1966,149072,,
7/2/1966,149911,,
10/2/1966,150424,,
1/1/1967,149804,,
4/1/1967,151844,,
7/2/1967,153930,,
10/2/1967,154649,,
1/1/1968,155456,,
4/1/1968,161113,,
7/2/1968,160428,,
10/2/1968,163618,,
1/1/1969,164280,,
4/1/1969,163917,,
7/2/1969,165073,,
10/2/1969,166036,,
1/1/1970,166893,,
4/1/1970,165838,,
7/2/1970,169756,,
10/2/1970,171401,,
1/1/1971,172905,,
4/1/1971,171908,,
7/2/1971,174944,,
10/2/1971,178004,,
1/1/1972,178700,,
4/1/1972,178900,,
7/2/1972,183665,,
10/2/1972,184154,,
1/1/1973,187051,,
4/1/1973,196348,,
7/2/1973,196607,,
10/2/1973,194730,,
1/1/1974,193898,,
4/1/1974,188603,,
7/2/1974,191332,,
10/2/1974,192567,,
1/1/1975,189755,,
4/1/1975,189858,,
7/2/1975,186727,,
