DATE,VALUE
3/31/1993,0.29
5/1/1993,0.3
5/31/1993,0.305
7/1/1993,0.305
7/31/1993,0.31
8/31/1993,0.314
10/1/1993,0.32
10/31/1993,0.319
12/1/1993,0.319
12/31/1993,0.323
1/31/1994,0.321
3/3/1994,0.325
3/31/1994,0.339
5/1/1994,0.344
5/31/1994,0.349
7/1/1994,0.353
7/31/1994,0.354
8/31/1994,0.358
10/1/1994,0.363
10/31/1994,0.362
12/1/1994,0.365
12/31/1994,0.365
1/31/1995,0.359
3/3/1995,0.365
3/31/1995,0.375
5/1/1995,0.379
5/31/1995,0.382
7/1/1995,0.385
7/31/1995,0.385
8/31/1995,0.387
10/1/1995,0.391
10/31/1995,0.388
12/1/1995,0.39
12/31/1995,0.388
1/31/1996,0.379
3/2/1996,0.381
3/31/1996,0.392
5/1/1996,0.393
5/31/1996,0.396
7/1/1996,0.398
7/31/1996,0.394
8/31/1996,0.398
10/1/1996,0.4
10/31/1996,0.394
12/1/1996,0.396
12/31/1996,0.398
1/31/1997,0.388
3/3/1997,0.391
3/31/1997,0.373
5/1/1997,0.378
5/31/1997,0.382
7/1/1997,0.388
7/31/1997,0.383
8/31/1997,0.383
10/1/1997,0.384
10/31/1997,0.377
12/1/1997,0.38
12/31/1997,0.38
1/31/1998,0.367
3/3/1998,0.364
3/31/1998,0.371
5/1/1998,0.366
5/31/1998,0.368
7/1/1998,0.373
7/31/1998,0.366
8/31/1998,0.366
10/1/1998,0.366
10/31/1998,0.358
12/1/1998,0.359
12/31/1998,0.36
1/31/1999,0.347
3/3/1999,0.346
3/31/1999,0.353
5/1/1999,0.349
5/31/1999,0.35
7/1/1999,0.355
7/31/1999,0.348
8/31/1999,0.346
10/1/1999,0.345
10/31/1999,0.335
12/1/1999,0.334
12/31/1999,0.347
1/31/2000,0.326
3/2/2000,0.322
3/31/2000,0.327
5/1/2000,0.32
5/31/2000,0.307
7/1/2000,0.312
7/31/2000,0.304
8/31/2000,0.303
10/1/2000,0.295
10/31/2000,0.288
12/1/2000,0.289
12/31/2000,0.298
1/31/2001,0.282
3/3/2001,0.28
3/31/2001,0.285
5/1/2001,0.281
5/31/2001,0.283
7/1/2001,0.29
7/31/2001,0.282
8/31/2001,0.28
10/1/2001,0.281
10/31/2001,0.276
12/1/2001,0.279
12/31/2001,0.287
1/31/2002,0.276
3/3/2002,0.273
3/31/2002,0.279
5/1/2002,0.276
5/31/2002,0.278
7/1/2002,0.283
7/31/2002,0.276
8/31/2002,0.277
10/1/2002,0.281
10/31/2002,0.285
12/1/2002,0.289
12/31/2002,0.297
1/31/2003,0.285
3/3/2003,0.283
3/31/2003,0.291
5/1/2003,0.284
5/31/2003,0.286
7/1/2003,0.291
7/31/2003,0.287
8/31/2003,0.288
10/1/2003,0.294
10/31/2003,0.292
12/1/2003,0.296
12/31/2003,0.306
1/31/2004,0.294
3/2/2004,0.293
3/31/2004,0.303
5/1/2004,0.309
5/31/2004,0.312
7/1/2004,0.32
7/31/2004,0.314
8/31/2004,0.315
10/1/2004,0.321
10/31/2004,0.318
12/1/2004,0.325
12/31/2004,0.335
1/31/2005,0.321
3/3/2005,0.32
3/31/2005,0.329
5/1/2005,0.326
5/31/2005,0.328
7/1/2005,0.334
7/31/2005,0.328
8/31/2005,0.33
10/1/2005,0.336
10/31/2005,0.332
12/1/2005,0.337
12/31/2005,0.347
1/31/2006,0.33
3/3/2006,0.33
3/31/2006,0.339
5/1/2006,0.336
5/31/2006,0.341
7/1/2006,0.349
7/31/2006,0.339
8/31/2006,0.34
10/1/2006,0.347
10/31/2006,0.341
12/1/2006,0.345
12/31/2006,0.353
1/31/2007,0.337
3/3/2007,0.337
3/31/2007,0.346
5/1/2007,0.343
5/31/2007,0.347
7/1/2007,0.353
7/31/2007,0.343
8/31/2007,0.345
10/1/2007,0.35
10/31/2007,0.346
12/1/2007,0.351
12/31/2007,0.36
1/31/2008,0.345
3/2/2008,0.348
3/31/2008,0.355
5/1/2008,0.357
5/31/2008,0.364
7/1/2008,0.377
7/31/2008,0.396
8/31/2008,0.404
10/1/2008,0.43
10/31/2008,0.436
12/1/2008,0.446
12/31/2008,0.479
1/31/2009,0.478
3/3/2009,0.485
3/31/2009,0.504
5/1/2009,0.514
5/31/2009,0.529
7/1/2009,0.546
7/31/2009,0.548
8/31/2009,0.549
10/1/2009,0.561
10/31/2009,0.564
12/1/2009,0.572
12/31/2009,0.607
1/31/2010,0.629
3/3/2010,0.632
3/31/2010,0.648
5/1/2010,0.65
5/31/2010,0.657
7/1/2010,0.669
7/31/2010,0.669
8/31/2010,0.672
10/1/2010,0.685
10/31/2010,0.685
12/1/2010,0.694
12/31/2010,0.709
1/31/2011,0.699
3/3/2011,0.702
3/31/2011,0.716
5/1/2011,0.716
5/31/2011,0.721
7/1/2011,0.731
7/31/2011,0.726
8/31/2011,0.736
10/1/2011,0.74
10/31/2011,0.738
12/1/2011,0.743
12/31/2011,0.755
1/31/2012,0.743
3/2/2012,0.746
3/31/2012,0.754
5/1/2012,0.752
5/31/2012,0.756
7/1/2012,0.766
7/31/2012,0.763
8/31/2012,0.762
10/1/2012,0.771
10/31/2012,0.774
12/1/2012,0.78
12/31/2012,0.79
1/31/2013,0.777
3/3/2013,0.778
3/31/2013,0.791
5/1/2013,0.791
5/31/2013,0.797
7/1/2013,0.803
7/31/2013,0.798
8/31/2013,0.798
10/1/2013,0.804
10/31/2013,0.802
12/1/2013,0.807
12/31/2013,0.815
1/31/2014,0.806
3/3/2014,0.806
3/31/2014,0.812
5/1/2014,0.812
5/31/2014,0.817
7/1/2014,0.824
7/31/2014,0.82
8/31/2014,0.82
10/1/2014,0.828
10/31/2014,0.828
12/1/2014,0.831
12/31/2014,0.842
1/31/2015,0.829
3/3/2015,0.829
3/31/2015,0.836
5/1/2015,0.834
5/31/2015,0.838
7/1/2015,0.844
7/31/2015,0.839
8/31/2015,0.837
10/1/2015,0.844
10/31/2015,0.843
12/1/2015,0.844
12/31/2015,0.847
1/31/2016,0.834
3/2/2016,0.83
3/31/2016,0.836
5/1/2016,0.835
5/31/2016,0.837
7/1/2016,0.84
7/31/2016,0.831
8/31/2016,0.831
10/1/2016,0.838
10/31/2016,0.837
12/1/2016,0.844
12/31/2016,0.859
1/31/2017,0.849
3/3/2017,0.853
3/31/2017,0.866
