DATE,VALUE
3/3/1971,3.8
3/31/1971,3.9
5/1/1971,4.0
5/31/1971,4.1
7/1/1971,4.1
7/31/1971,4.2
8/31/1971,4.2
10/1/1971,4.3
10/31/1971,4.4
12/1/1971,4.4
12/31/1971,4.5
1/31/1972,4.5
3/2/1972,4.5
3/31/1972,4.5
5/1/1972,4.5
5/31/1972,4.4
7/1/1972,4.4
7/31/1972,4.3
8/31/1972,4.3
10/1/1972,4.2
10/31/1972,4.2
12/1/1972,4.2
12/31/1972,4.1
1/31/1973,4.0
3/3/1973,3.9
3/31/1973,3.8
5/1/1973,3.8
5/31/1973,3.7
7/1/1973,3.7
7/31/1973,3.6
8/31/1973,3.6
10/1/1973,3.5
10/31/1973,3.5
12/1/1973,3.4
12/31/1973,3.4
1/31/1974,3.5
3/3/1974,3.6
3/31/1974,3.6
5/1/1974,3.6
5/31/1974,3.6
7/1/1974,3.6
7/31/1974,3.7
8/31/1974,3.7
10/1/1974,3.7
10/31/1974,3.7
12/1/1974,3.7
12/31/1974,3.8
1/31/1975,3.9
3/3/1975,4.0
3/31/1975,4.1
5/1/1975,4.2
5/31/1975,4.3
7/1/1975,4.5
7/31/1975,4.6
8/31/1975,4.7
10/1/1975,4.8
10/31/1975,4.9
12/1/1975,5.0
12/31/1975,5.1
1/31/1976,5.2
3/2/1976,5.3
3/31/1976,5.3
5/1/1976,5.4
5/31/1976,5.4
7/1/1976,5.4
7/31/1976,5.4
8/31/1976,5.5
10/1/1976,5.5
10/31/1976,5.5
12/1/1976,5.5
12/31/1976,5.5
1/31/1977,5.5
3/3/1977,5.5
3/31/1977,5.5
5/1/1977,5.5
5/31/1977,5.5
7/1/1977,5.6
7/31/1977,5.6
8/31/1977,5.7
10/1/1977,5.7
10/31/1977,5.7
12/1/1977,5.7
12/31/1977,5.7
1/31/1978,5.6
3/3/1978,5.6
3/31/1978,5.6
5/1/1978,5.6
5/31/1978,5.6
7/1/1978,5.5
7/31/1978,5.5
8/31/1978,5.5
10/1/1978,5.5
10/31/1978,5.4
12/1/1978,5.4
12/31/1978,5.3
1/31/1979,5.3
3/3/1979,5.4
3/31/1979,5.3
5/1/1979,5.3
5/31/1979,5.3
7/1/1979,5.3
7/31/1979,5.3
8/31/1979,5.4
10/1/1979,5.4
10/31/1979,5.4
12/1/1979,5.5
12/31/1979,5.6
1/31/1980,5.7
3/2/1980,5.8
3/31/1980,6.0
5/1/1980,6.1
5/31/1980,6.3
7/1/1980,6.5
7/31/1980,6.8
8/31/1980,7.1
10/1/1980,7.4
10/31/1980,7.7
12/1/1980,8.0
12/31/1980,8.3
1/31/1981,8.6
3/3/1981,8.9
3/31/1981,9.1
5/1/1981,9.4
5/31/1981,9.6
7/1/1981,9.7
7/31/1981,9.8
8/31/1981,9.9
10/1/1981,10.0
10/31/1981,10.1
12/1/1981,10.2
12/31/1981,10.3
1/31/1982,10.4
3/3/1982,10.4
3/31/1982,10.5
5/1/1982,10.5
5/31/1982,10.6
7/1/1982,10.6
7/31/1982,10.7
8/31/1982,10.8
10/1/1982,10.9
10/31/1982,11.0
12/1/1982,11.1
12/31/1982,11.2
1/31/1983,11.2
3/3/1983,11.3
3/31/1983,11.3
5/1/1983,11.3
5/31/1983,11.4
7/1/1983,11.5
7/31/1983,11.5
8/31/1983,11.5
10/1/1983,11.6
10/31/1983,11.6
12/1/1983,11.7
12/31/1983,11.7
1/31/1984,11.8
3/2/1984,11.8
3/31/1984,11.9
5/1/1984,11.9
5/31/1984,11.9
7/1/1984,11.8
7/31/1984,11.8
8/31/1984,11.7
10/1/1984,11.7
10/31/1984,11.7
12/1/1984,11.6
12/31/1984,11.6
1/31/1985,11.5
3/3/1985,11.5
3/31/1985,11.4
5/1/1985,11.4
5/31/1985,11.4
7/1/1985,11.3
7/31/1985,11.3
8/31/1985,11.3
10/1/1985,11.3
10/31/1985,11.3
12/1/1985,11.3
12/31/1985,11.3
1/31/1986,11.3
3/3/1986,11.3
3/31/1986,11.3
5/1/1986,11.3
5/31/1986,11.3
7/1/1986,11.4
7/31/1986,11.4
8/31/1986,11.4
10/1/1986,11.3
10/31/1986,11.3
12/1/1986,11.3
12/31/1986,11.2
1/31/1987,11.2
3/3/1987,11.1
3/31/1987,11.0
5/1/1987,10.9
5/31/1987,10.7
7/1/1987,10.6
7/31/1987,10.4
8/31/1987,10.2
10/1/1987,10.0
10/31/1987,9.9
12/1/1987,9.7
12/31/1987,9.5
1/31/1988,9.4
3/2/1988,9.2
3/31/1988,9.0
5/1/1988,8.9
5/31/1988,8.7
7/1/1988,8.6
7/31/1988,8.5
8/31/1988,8.4
10/1/1988,8.3
10/31/1988,8.2
12/1/1988,8.0
12/31/1988,7.9
1/31/1989,7.7
3/3/1989,7.6
3/31/1989,7.4
5/1/1989,7.3
5/31/1989,7.2
7/1/1989,7.2
7/31/1989,7.1
8/31/1989,7.1
10/1/1989,7.1
10/31/1989,7.0
12/1/1989,7.0
12/31/1989,7.0
1/31/1990,6.9
3/3/1990,6.9
3/31/1990,6.9
5/1/1990,6.9
5/31/1990,6.9
7/1/1990,6.9
7/31/1990,7.0
8/31/1990,7.1
10/1/1990,7.2
10/31/1990,7.3
12/1/1990,7.5
12/31/1990,7.6
1/31/1991,7.8
3/3/1991,8.0
3/31/1991,8.2
5/1/1991,8.5
5/31/1991,8.7
7/1/1991,8.8
7/31/1991,9.0
8/31/1991,9.2
10/1/1991,9.3
10/31/1991,9.4
12/1/1991,9.5
12/31/1991,9.5
1/31/1992,9.6
3/2/1992,9.7
3/31/1992,9.8
5/1/1992,9.8
5/31/1992,9.8
7/1/1992,9.9
7/31/1992,9.9
8/31/1992,9.9
10/1/1992,10.1
10/31/1992,10.2
12/1/1992,10.4
12/31/1992,10.5
1/31/1993,10.7
