,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,BMTR,970.0,752.25,4.55,-48.761545830220726,63.63,6.81,-840.64 B,-126.57,1.28946493852,-19.8927245534293,1.84
1,ICBP,13875.0,2537.02,17.57,541.9849868866694,24.19,13.15,+2.80 T,27.17,5.46901482842,25.600340112190786,2.54
2,BBNI,4985.0,3306.79,14.46,n.a,39.0,n.a,+14.86 T,10.27,1.50750425639,n.a,2.69
3,LPKR,1010.0,721.55,11.07,n.a,64.06,n.a,+332.35 B,14.89,1.39976439609,n.a,1.95
4,BMRI,9100.0,4754.27,17.16,n.a,52.48,n.a,+9.45 T,10.91,1.91406882655,n.a,2.97
5,TLKM,3210.0,721.06,18.43,-212.98531756330019,34.59,14.1,+11.13 T,21.65,4.45177932488,-15.07146143557982,3.12
6,PNBN,765.0,1168.01,8.1,n.a,90.82,n.a,+3.04 T,12.71,0.654960145889,n.a,1.63
7,PWON,479.0,140.88,31.11,n.a,74.46,n.a,+903.23 B,9.93,3.40005678592,n.a,6.07
8,GGRM,54025.0,18532.21,17.22,7750.193704222628,54.84,6.19,-3.46 T,19.39,2.91519467997,6.97079351327244,1.79
9,ASII,5975.0,2477.87,16.03,-448.11459908380067,73.29,14.66,+8.65 T,14.5,2.41134522796,-13.333642805247306,1.49
10,BSDE,1815.0,957.89,24.5,152.9240739068664,28.26,6.62,-64.23 B,15.12,1.89478958962,11.868634895937763,5.86
11,PGAS,2560.0,1757.13,18.04,-1040.794410928264,68.39,12.57,+2.63 T,11.57,1.4569212295,-2.459659634141181,3.61
12,INCO,1485.0,2708.76,8.69,252.5844933389946,10.23,19.69,+2.84 T,12.82,0.548221326363,5.879220772302027,2.92
13,UNTR,16225.0,10743.72,14.57,3380.0034171427524,7.08,31.92,+6.36 T,10.12,1.51018455433,4.800291004946859,1.22
14,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571,224.94331370397495,3.56
15,CPIN,2800.0,728.28,12.32,-26.517385849033804,60.38,8.14,-3.36 T,36.9,3.84467512495,-105.59110222782468,2.13
16,KLBF,1325.0,214.02,23.55,117.12248759052602,3.16,51.22,+1.57 T,31.03,6.19101018596,11.312942776901696,4.94
17,PTBA,4345.0,4345.62,23.79,495.41346615561156,26.37,47.91,+1.25 T,5.02,0.999857327608,8.770451949392946,2.08
18,AALI,16400.0,6885.12,20.85,-4412.168746010561,38.77,38.74,-348.65 B,34.41,2.38194831753,-3.7169929220927274,2.34
19,INTP,21100.0,6188.53,22.01,2205.2930585453714,0.51,268.52,+1.84 T,16.89,3.40953344332,9.567889364290533,4.6
20,BBRI,11250.0,4355.87,24.9,n.a,58.87,n.a,+27.59 T,11.6,2.58272170657,n.a,3.49
21,AKRA,7600.0,1515.97,10.64,-131.25216258484699,76.55,3.35,+1.50 T,28.0,5.01329181976,-57.903807833162645,0.72
22,ADRO,485.0,1333.06,3.75,-615.6076470278296,68.54,2.95,+5.80 T,8.92,0.36382458404,-0.7878394661625683,0.91
23,MNCN,1715.0,608.18,18.03,194.9115025146475,35.92,38.75,-104.10 B,24.17,2.8198888487,8.798865012449014,5.34
24,BBCA,13000.0,3488.3,21.8,n.a,14.92,n.a,+13.06 T,18.43,3.72674368604,n.a,6.15
25,BDMN,3000.0,3512.72,5.13,n.a,90.2,n.a,+7.23 T,13.02,0.854039035278,n.a,1.5
26,SCMA,3350.0,243.76,41.64,135.35562928067066,13.1,28.12,+1.03 T,32.14,13.7430259271,24.74961712197066,12.62
