,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,ICBP,13875.0,2537.02,17.57,541.9849868866694,24.19,13.15,+2.80 T,27.17,5.46901482842,25.600340112190786,2.54
1,BBNI,4985.0,3306.79,14.46,n.a,39.0,n.a,+14.86 T,10.27,1.50750425639,n.a,2.69
2,LPKR,1010.0,721.55,11.07,n.a,64.06,n.a,+332.35 B,14.89,1.39976439609,n.a,1.95
3,BMRI,9100.0,4754.27,17.16,n.a,52.48,n.a,+9.45 T,10.91,1.91406882655,n.a,2.97
4,TLKM,3210.0,721.06,18.43,-212.98531756330019,34.59,14.1,+11.13 T,21.65,4.45177932488,-15.07146143557982,3.12
5,ADHI,2200.0,787.9,10.19,130.40675516523376,130.3,3.26,-1.22 T,12.96,2.79223251682,16.87029170546003,0.72
6,PWON,479.0,140.88,31.11,n.a,74.46,n.a,+903.23 B,9.93,3.40005678592,n.a,6.07
7,GGRM,54025.0,18532.21,17.22,7750.193704222628,54.84,6.19,-3.46 T,19.39,2.91519467997,6.97079351327244,1.79
8,ASII,5975.0,2477.87,16.03,-448.11459908380067,73.29,14.66,+8.65 T,14.5,2.41134522796,-13.333642805247306,1.49
9,BSDE,1815.0,957.89,24.5,152.9240739068664,28.26,6.62,-64.23 B,15.12,1.89478958962,11.868634895937763,5.86
10,PGAS,2560.0,1757.13,18.04,-1040.794410928264,68.39,12.57,+2.63 T,11.57,1.4569212295,-2.459659634141181,3.61
11,INCO,1485.0,2708.76,8.69,252.5844933389946,10.23,19.69,+2.84 T,12.82,0.548221326363,5.879220772302027,2.92
12,UNTR,16225.0,10743.72,14.57,3380.0034171427524,7.08,31.92,+6.36 T,10.12,1.51018455433,4.800291004946859,1.22
13,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571,224.94331370397495,3.56
14,WIKA,2850.0,679.04,12.91,-241.65488771545984,75.99,4.98,-1.21 T,28.99,4.19710179076,-11.793678277907523,1.81
15,CPIN,2800.0,728.28,12.32,-26.517385849033804,60.38,8.14,-3.36 T,36.9,3.84467512495,-105.59110222782468,2.13
16,KLBF,1325.0,214.02,23.55,117.12248759052602,3.16,51.22,+1.57 T,31.03,6.19101018596,11.312942776901696,4.94
17,SSMS,1775.0,299.8,22.77,-108.9811405256981,23.35,10.71,+822.51 B,27.99,5.92061374249,-16.28722172880407,7.27
18,LSIP,1250.0,1045.49,13.25,-90.2396362702813,n.a,3.24,+550.62 B,12.54,1.19561162708,-13.852006187791602,2.73
19,INTP,21100.0,6188.53,22.01,2205.2930585453714,0.51,268.52,+1.84 T,16.89,3.40953344332,9.567889364290533,4.6
20,BBRI,11250.0,4355.87,24.9,n.a,58.87,n.a,+27.59 T,11.6,2.58272170657,n.a,3.49
21,UNVR,36000.0,754.34,129.63,-367.7409580605486,27.18,82.41,+5.34 T,48.62,47.7238380571,-97.89499703775883,7.14
22,MPPA,1760.0,534.37,18.04,115.97587083529064,n.a,28.25,+392.24 B,21.24,3.29359806875,15.17557046413179,1.21
23,ADRO,485.0,1333.06,3.75,-615.6076470278296,68.54,2.95,+5.80 T,8.92,0.36382458404,-0.7878394661625683,0.91
24,MNCN,1715.0,608.18,18.03,194.9115025146475,35.92,38.75,-104.10 B,24.17,2.8198888487,8.798865012449014,5.34
25,LPPF,16425.0,237.11,206.73,-306.8945826365351,388.07,8.25,+1.43 T,28.63,69.2716460714,-53.520006312567084,5.52
26,BBCA,13000.0,3488.3,21.8,n.a,14.92,n.a,+13.06 T,18.43,3.72674368604,n.a,6.15
27,SCMA,3350.0,243.76,41.64,135.35562928067066,13.1,28.12,+1.03 T,32.14,13.7430259271,24.74961712197066,12.62
28,SMRA,1585.0,413.66,17.41,n.a,79.73,n.a,-2.53 T,17.35,3.83164918049,n.a,3.99
29,INDF,5650.0,2931.37,7.99,n.a,104.8,4.12,+4.05 T,20.05,1.92742642519,n.a,0.93
