,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,TAXI,108.0,420.73,6.39,-655.8418379598635,195.89,1.84,-901.33 B,11.94,0.25669669384165616,-0.16467384931701998,2.82
1,ERAA,555.0,1055.7,7.24,339.25899474348256,53.05,2.21,-175.14 B,8.63,0.5257175333901677,1.6359183060706808,0.22
2,CTRA,1480.0,516.25,13.87,-39.39683774067942,54.23,5.75,-379.46 B,15.97,2.8668280871670704,-37.56646687588882,2.99
3,BBNI,4985.0,3306.79,14.46,n.a,39.0,n.a,+14.86 T,10.27,1.5075042563936627,n.a,2.69
4,LINK,3885.0,1147.8,19.1,-85.49204747250334,5.99,15.02,+177.05 B,19.84,3.3847360167276532,-45.442823219896866,7.01
5,ACES,755.0,144.36,25.99,94.488931775807,1.13,16.31,+338.24 B,22.53,5.2299806040454415,7.990353852146211,2.88
6,BJTM,443.0,409.33,15.15,n.a,15.37,n.a,+1.31 T,7.34,1.082256370165881,n.a,1.61
7,CTRP,378.0,758.07,6.44,n.a,60.44,n.a,-714.87 B,5.34,0.49863469072776917,n.a,2.92
8,BEST,288.0,299.64,13.14,n.a,16.38,n.a,+481.84 B,16.39,0.9611533840608731,n.a,8.35
9,PWON,479.0,140.88,31.11,n.a,74.46,n.a,+903.23 B,9.93,3.4000567859170925,n.a,6.07
10,GGRM,54025.0,18532.21,17.22,7750.193704222628,54.84,6.19,-3.46 T,19.39,2.915194679965315,6.97079351327244,1.79
11,BSDE,1815.0,957.89,24.5,152.9240739068664,28.26,6.62,-64.23 B,15.12,1.8947895896188498,11.868634895937763,5.86
12,DILD,483.0,436.98,7.61,n.a,48.45,n.a,-816.11 B,14.42,1.1053137443361252,n.a,3.62
13,BHIT,158.0,258.02,0.93,n.a,122.68,n.a,-3.63 T,n.a,0.6123556313464072,n.a,0.82
14,VIVA,239.0,100.39,3.06,-73.20894997027806,130.77,1.38,+15.05 B,-7.68,2.3807152106783542,-3.2646281649583977,3.49
15,BBTN,1345.0,1244.16,4.56,n.a,168.07,n.a,+2.28 T,9.09,1.0810506687242798,n.a,0.94
16,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571040845,224.94331370397495,3.56
17,WIKA,2850.0,679.04,12.91,-241.65488771545984,75.99,4.98,-1.21 T,28.99,4.197101790763431,-11.793678277907523,1.81
