,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,BMTR,970.0,752.25,4.55,-48.761545830220726,63.63,6.81,-840.64 B,-126.57,1.28946493851778,-19.8927245534293,1.84
1,ICBP,13875.0,2537.02,17.57,541.9849868866694,24.19,13.15,+2.80 T,27.17,5.469014828420746,25.600340112190786,2.54
2,BBNI,4985.0,3306.79,14.46,n.a,39.0,n.a,+14.86 T,10.27,1.5075042563936627,n.a,2.69
3,SRIL,375.0,210.14,11.04,-83.9805038577964,178.58,3.15,-1.50 T,8.79,1.7845246026458552,-4.465322101841457,0.46
4,LPKR,1010.0,721.55,11.07,n.a,64.06,n.a,+332.35 B,14.89,1.399764396091747,n.a,1.95
5,BMRI,9100.0,4754.27,17.16,n.a,52.48,n.a,+9.45 T,10.91,1.9140688265496069,n.a,2.97
6,TLKM,3210.0,721.06,18.43,-212.98531756330019,34.59,14.1,+11.13 T,21.65,4.4517793248828115,-15.07146143557982,3.12
7,ADHI,2200.0,787.9,10.19,130.40675516523376,130.3,3.26,-1.22 T,12.96,2.792232516816855,16.87029170546003,0.72
8,MPPA,1760.0,534.37,18.04,115.97587083529064,n.a,28.25,+392.24 B,21.24,3.2935980687538597,15.17557046413179,1.21
9,SILO,9300.0,1472.97,3.34,-321.9879646069117,28.0,2.97,-98.68 B,138.16,6.313774211287399,-28.883067139958463,4.74
10,PWON,479.0,140.88,31.11,n.a,74.46,n.a,+903.23 B,9.93,3.4000567859170925,n.a,6.07
11,GGRM,54025.0,18532.21,17.22,7750.193704222628,54.84,6.19,-3.46 T,19.39,2.915194679965315,6.97079351327244,1.79
12,LPPF,16425.0,237.11,206.73,-306.8945826365351,388.07,8.25,+1.43 T,28.63,69.27164607144363,-53.520006312567084,5.52
13,JSMR,5775.0,1421.41,6.54,-2302.0122936966095,135.14,1.79,+1.53 T,31.91,4.06286715303818,-2.508674699875911,5.58
14,ASRI,334.0,301.25,9.77,n.a,107.98,n.a,-1.33 T,19.24,1.1087136929460581,n.a,2.99
15,BSDE,1815.0,957.89,24.5,152.9240739068664,28.26,6.62,-64.23 B,15.12,1.8947895896188498,11.868634895937763,5.86
16,PGAS,2560.0,1757.13,18.04,-1040.794410928264,68.39,12.57,+2.63 T,11.57,1.4569212295049312,-2.459659634141181,3.61
17,INCO,1485.0,2708.76,8.69,252.5844933389946,10.23,19.69,+2.84 T,12.82,0.5482213263633544,5.879220772302027,2.92
18,BBTN,1345.0,1244.16,4.56,n.a,168.07,n.a,+2.28 T,9.09,1.0810506687242798,n.a,0.94
19,UNTR,16225.0,10743.72,14.57,3380.0034171427524,7.08,31.92,+6.36 T,10.12,1.51018455432569,4.800291004946859,1.22
20,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571040845,224.94331370397495,3.56
21,WIKA,2850.0,679.04,12.91,-241.65488771545984,75.99,4.98,-1.21 T,28.99,4.197101790763431,-11.793678277907523,1.81
22,CPIN,2800.0,728.28,12.32,-26.517385849033804,60.38,8.14,-3.36 T,36.9,3.8446751249519417,-105.59110222782468,2.13
23,KLBF,1325.0,214.02,23.55,117.12248759052602,3.16,51.22,+1.57 T,31.03,6.191010185963928,11.312942776901696,4.94
24,SSMS,1775.0,299.8,22.77,-108.9811405256981,23.35,10.71,+822.51 B,27.99,5.9206137424949965,-16.28722172880407,7.27
25,PTBA,4345.0,4345.62,23.79,495.41346615561156,26.37,47.91,+1.25 T,5.02,0.9998573276080284,8.770451949392946,2.08
26,LSIP,1250.0,1045.49,13.25,n.a,n.a,3.24,+550.62 B,12.54,1.195611627083951,n.a,2.73
27,AALI,16400.0,6885.12,20.85,-4412.168746010561,38.77,38.74,-348.65 B,33.74,2.3819483175311396,-3.7169929220927274,2.34
28,INTP,21100.0,6188.53,22.01,2205.2930585453714,0.51,268.52,+1.84 T,16.89,3.409533443321758,9.567889364290533,4.6
29,BBRI,11250.0,4355.87,24.9,n.a,58.87,n.a,+27.59 T,11.6,2.582721706570674,n.a,3.49
30,UNVR,36000.0,754.34,129.63,-367.7409580605486,27.18,82.41,+5.34 T,48.62,47.723838057109525,-97.89499703775883,7.14
31,EXCL,3660.0,1594.59,-2.49,-4153.206896643096,227.1,1.04,+55.42 B,-63.32,2.295260850751604,-0.8812467307993398,1.76
32,AKRA,7600.0,1515.97,10.64,-131.25216258484699,76.55,3.35,+1.50 T,28.0,5.013291819758966,-57.903807833162645,0.72
33,ADRO,485.0,1333.06,3.75,-615.6076470278296,68.54,2.95,+5.80 T,8.92,0.36382458403972817,-0.7878394661625683,0.91
34,PTPP,3855.0,589.87,15.9,362.58718558105727,129.65,3.24,+139.02 B,30.27,6.535338294878533,10.631925653473502,1.39
35,MNCN,1715.0,608.18,18.03,194.9115025146475,35.92,38.75,-104.10 B,24.17,2.81988884869611,8.798865012449014,5.34
36,ITMG,5800.0,11750.13,20.78,3115.3274547924616,n.a,n.a,+1.85 T,4.45,0.49361156004231443,1.861762554391377,0.75
37,ASII,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
38,BBCA,13000.0,3488.3,21.8,n.a,14.92,n.a,+13.06 T,18.43,3.726743686036178,n.a,6.15
39,SCMA,3350.0,243.76,41.64,135.35562928067066,13.1,28.12,+1.03 T,32.14,13.743025927141451,24.74961712197066,12.62
