,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,GZCO,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
1,MIKA,2185.0,213.61,30.13,141.09142499334317,n.a,38.25,+252.31 B,57.26,10.228921866953794,15.486412445710931,n.a
2,RAJA,740.0,773.41,9.7,-426.30667707446867,74.94,5.81,+373.40 B,8.28,0.9568016963835482,-1.735839572296294,0.59
3,MGNA,52.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
4,ACES,755.0,144.36,25.99,94.488931775807,1.13,16.31,+338.24 B,22.53,5.2299806040454415,7.990353852146211,2.88
5,SKLT,390.0,240.58,10.69,-7.710749031683789,44.69,3.54,+1.04 B,14.03,1.6210823842380913,-50.57874382857927,0.3
6,TINS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
7,MEGA,3100.0,1036.1,9.17,n.a,96.34,n.a,+3.66 T,26.55,2.9919891902326032,n.a,1.89
8,EKAD,416.0,380.88,16.9,227.551953874461,31.62,13.37,-8.00 B,7.42,1.0922075194286915,1.8281539354722687,0.68
9,ALDO,730.0,229.89,9.25,56.1308126780707,69.86,4.21,-15.59 B,40.73,3.1754317282178435,13.005334595577626,0.82
10,OCAP,575.0,-281.96,n.a,n.a,n.a,n.a,-24.84 B,-3.0,-2.0392963540927793,n.a,9.4
11,BIKA,1975.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
12,MDRN,131.0,295.45,2.55,-98.85215054119799,61.74,1.3,-450.25 B,44.62,0.44339143679133525,-1.3252114322530997,1.98
13,SRSN,50.0,56.57,4.49,34.56293238227244,29.37,3.69,-6.95 B,34.5,0.8838607035531201,1.446636513562875,0.64
14,SIPD,850.0,1165.09,0.11,-195.27896802216662,94.92,0.06,-99.26 B,-4.54,0.7295573732501353,-4.3527472958762985,0.2
15,BBTN,1345.0,1244.16,4.56,n.a,168.07,n.a,+2.28 T,9.09,1.0810506687242798,n.a,0.94
16,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571040845,224.94331370397495,3.56
17,WIKA,2850.0,679.04,12.91,-241.65488771545984,75.99,4.98,-1.21 T,28.99,4.197101790763431,-11.793678277907523,1.81
18,LION,1050.0,882.57,11.4,670.8295610549842,7.88,144.83,+10.38 B,10.12,1.189707331996329,1.5652261929970872,1.28
