,Date,Open,J-1,J-2,J-3,J-4,J-5,J-6
0,2010-01-04 01:00,92.757,,,,,,
1,2010-01-04 02:00,92.908,92.757,,,,,
2,2010-01-04 03:00,92.992,92.908,92.757,,,,
3,2010-01-04 04:00,92.888,92.992,92.908,92.757,,,
4,2010-01-04 05:00,92.768,92.888,92.992,92.908,92.757,,
5,2010-01-04 06:00,92.755,92.768,92.888,92.992,92.908,92.757,
6,2010-01-04 07:00,92.883,92.755,92.768,92.888,92.992,92.908,92.757
7,2010-01-04 08:00,93.061,92.883,92.755,92.768,92.888,92.992,92.908
8,2010-01-04 09:00,93.053,93.061,92.883,92.755,92.768,92.888,92.992
9,2010-01-04 10:00,92.868,93.053,93.061,92.883,92.755,92.768,92.888
10,2010-01-04 11:00,92.815,92.868,93.053,93.061,92.883,92.755,92.768
11,2010-01-04 12:00,92.952,92.815,92.868,93.053,93.061,92.883,92.755
12,2010-01-04 13:00,92.814,92.952,92.815,92.868,93.053,93.061,92.883
13,2010-01-04 14:00,92.872,92.814,92.952,92.815,92.868,93.053,93.061
14,2010-01-04 15:00,92.657,92.872,92.814,92.952,92.815,92.868,93.053
15,2010-01-04 16:00,92.651,92.657,92.872,92.814,92.952,92.815,92.868
16,2010-01-04 17:00,92.368,92.651,92.657,92.872,92.814,92.952,92.815
17,2010-01-04 18:00,92.572,92.368,92.651,92.657,92.872,92.814,92.952
18,2010-01-04 19:00,92.704,92.572,92.368,92.651,92.657,92.872,92.814
19,2010-01-04 20:00,92.624,92.704,92.572,92.368,92.651,92.657,92.872
20,2010-01-04 21:00,92.604,92.624,92.704,92.572,92.368,92.651,92.657
21,2010-01-04 22:00,92.595,92.604,92.624,92.704,92.572,92.368,92.651
22,2010-01-04 23:00,92.543,92.595,92.604,92.624,92.704,92.572,92.368
23,2010-01-05 00:00,92.426,92.543,92.595,92.604,92.624,92.704,92.572
24,2010-01-05 01:00,92.49,92.426,92.543,92.595,92.604,92.624,92.704
25,2010-01-05 02:00,92.374,92.49,92.426,92.543,92.595,92.604,92.624
26,2010-01-05 03:00,92.281,92.374,92.49,92.426,92.543,92.595,92.604
27,2010-01-05 04:00,92.257,92.281,92.374,92.49,92.426,92.543,92.595
28,2010-01-05 05:00,92.166,92.257,92.281,92.374,92.49,92.426,92.543
29,2010-01-05 06:00,91.715,92.166,92.257,92.281,92.374,92.49,92.426
30,2010-01-05 07:00,91.697,91.715,92.166,92.257,92.281,92.374,92.49
31,2010-01-05 08:00,91.705,91.697,91.715,92.166,92.257,92.281,92.374
